idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
0.0,0.1,50.0,1.0,4.146198701858521,0.005000495910644531,175.76981435475523,30895.027638305117,0.4991393285737096
1.0,0.1,50.0,2.0,8.350729131698609,0.0060004711151123045,167.71091966071938,28126.95257344427,0.5439421889016529
2.0,0.1,50.0,3.0,12.437270975112915,0.007800579071044922,163.59825855926334,26764.390203623578,0.5660380386135927
3.0,0.1,50.0,5.0,20.346873188018797,0.015998029708862306,160.9097761998853,25891.956076697174,0.5801221902629706
4.0,0.1,50.0,10.0,38.39468531608581,0.030002737045288087,163.981411126143,26889.90319492113,0.563728881466891
5.0,0.1,100.0,1.0,8.465801286697388,0.0063972949981689455,171.01598332217088,29246.466551649028,0.5258235138985047
6.0,0.1,100.0,2.0,16.76780047416687,0.010399866104125976,165.3727533324419,27348.14754475268,0.556568105281831
7.0,0.1,100.0,3.0,25.26985807418823,0.017399358749389648,162.1791924651977,26302.090468663635,0.5735240583323884
8.0,0.1,100.0,5.0,41.00848340988159,0.021798419952392577,160.64631237141785,25807.23767853516,0.5815388547939924
9.0,0.1,100.0,10.0,78.49505591392517,0.04480166435241699,164.12384820438373,26936.6375494156,0.5629835126613403
10.0,0.1,200.0,1.0,16.809811925888063,0.010000944137573242,169.19913974857405,28628.348891657497,0.5358299408148879
11.0,0.1,200.0,2.0,33.38347191810608,0.01579914093017578,163.69917730571024,26797.420650566357,0.565503195573671
12.0,0.1,200.0,3.0,51.45591592788696,0.02300119400024414,161.1913079729655,25982.637766035412,0.578700973387063
13.0,0.1,200.0,5.0,81.93084015846253,0.04219903945922852,160.8720493448947,25879.816260426236,0.5803530682975375
14.0,0.1,200.0,10.0,161.08244004249573,0.08500237464904785,164.84413178213228,27173.587783004994,0.5591667097058945
15.0,0.05,50.0,1.0,4.261457395553589,0.004000663757324219,184.8911827130955,34184.749445047266,0.4458394121098007
16.0,0.05,50.0,2.0,8.258199787139892,0.0070002079010009766,172.02869818244258,29593.872998345923,0.5202241738669977
17.0,0.05,50.0,3.0,12.446157264709473,0.010001373291015626,166.8036952087534,27823.472735294705,0.5488958400024035
18.0,0.05,50.0,5.0,20.001243782043456,0.015801525115966795,162.7286550185723,26480.615164153518,0.5706155361267996
19.0,0.05,50.0,10.0,37.55689425468445,0.027601909637451173,163.92447535037638,26871.233618896156,0.564241564563837
20.0,0.05,100.0,1.0,8.585799646377563,0.015201044082641602,175.994035519914,30973.900538584752,0.49786310239206577
21.0,0.05,100.0,2.0,16.694057178497314,0.014601945877075195,167.59095410428216,28086.727897583613,0.5446059737528015
22.0,0.05,100.0,3.0,24.736412239074706,0.016399621963500977,163.6741582127757,26789.230066660733,0.56562856836243
23.0,0.05,100.0,5.0,40.82688679695129,0.021799373626708984,160.838955688418,25869.16966694089,0.5804827486274104
24.0,0.05,100.0,10.0,75.97219834327697,0.05820136070251465,163.1953495932154,26632.722128851794,0.5680711170358105
25.0,0.05,200.0,1.0,17.216144800186157,0.010401535034179687,171.12027561609952,29282.14872692986,0.5252466940681273
26.0,0.05,200.0,2.0,43.76081290245056,0.023401355743408202,165.32080921009427,27330.969957880392,0.5568517946360635
27.0,0.05,200.0,3.0,62.09130463600159,0.04580016136169433,162.16846650131427,26298.611527387886,0.5735672042574855
28.0,0.05,200.0,5.0,110.88665189743043,0.08260025978088378,160.28175046149232,25690.239531000094,0.583386990195489
29.0,0.05,200.0,10.0,196.13881278038025,0.10319995880126953,163.36046992736817,26686.64313489056,0.5672074451432374
30.0,0.005,50.0,1.0,4.626327085494995,0.005201864242553711,230.80084257345752,53269.02893261792,0.13658721111440023
31.0,0.005,50.0,2.0,9.01562032699585,0.013399744033813476,225.5823803840379,50887.41033972877,0.1751941587686137
32.0,0.005,50.0,3.0,13.105599308013916,0.011400747299194335,222.93210088291391,49698.72160406971,0.19446868781245458
33.0,0.005,50.0,5.0,25.128196573257448,0.019800138473510743,220.104419057935,48445.95528883106,0.21473750403778133
34.0,0.005,50.0,10.0,42.75235290527344,0.03760066032409668,218.2805071432144,47646.37979869888,0.22762680486024328
35.0,0.005,100.0,1.0,9.70821762084961,0.007198333740234375,219.26672191599158,48077.89533978478,0.2207096273437049
36.0,0.005,100.0,2.0,18.915504503250123,0.013799095153808593,209.78272026460505,44008.78972161753,0.2866628686282823
37.0,0.005,100.0,3.0,28.083865785598753,0.013999700546264648,205.23103549740472,42119.777931337,0.317299531830077
38.0,0.005,100.0,5.0,49.38340425491333,0.026200628280639647,200.5916248489348,40236.999959535795,0.34778423110506707
39.0,0.005,100.0,10.0,85.75532212257386,0.068202543258667,198.28953916988496,39318.741344205344,0.36258074412222124
40.0,0.005,200.0,1.0,19.420982599258423,0.01679234504699707,203.88042280130702,41567.226801639714,0.3262186877993665
41.0,0.005,200.0,2.0,42.4938006401062,0.035199213027954104,190.9795431471102,36473.18590067893,0.4087598715260512
42.0,0.005,200.0,3.0,50.2342004776001,0.025199031829833983,184.60923898862657,34080.571119959845,0.44755176212729236
43.0,0.005,200.0,5.0,82.44719934463501,0.045600080490112306,178.53505043502076,31874.764233835413,0.48326771152336623
44.0,0.005,200.0,10.0,154.44239377975464,0.13460154533386232,176.7943741266991,31256.250722851255,0.49322458054546925
